entity_id,email,full_name,gender,birth_year,age_group,occupation,province,nationality,loyalty_tier,group_id,website_id,store_id,created_at,updated_at,is_active
45,customer45@example.com,Trần Trang,Nữ,1974,50-59,Luật sư,Hà Nội,Việt Nam,Diamond,2,1,4,2017-06-05,2024-05-10,1
46,customer46@example.com,Phạm Thảo,Nữ,1966,50-59,Luật sư,TP HCM,Việt Nam,Platinum,2,1,5,2015-07-06,2023-02-25,1
47,customer47@example.com,Trần Minh,Nam,1991,30-39,Kiến trúc sư,TP HCM,Việt Nam,Silver,1,1,5,2020-05-10,2023-04-27,1
48,customer48@example.com,Trần Phương,Nữ,1991,30-39,Doanh nhân,Hà Nội,Việt Nam,Diamond,1,1,4,2016-04-30,2024-07-25,1
49,customer49@example.com,Vũ Bình,Nam,1993,30-39,Người nổi tiếng,Hà Nội,Việt Nam,Gold,1,1,10,2023-04-20,2023-04-12,1
50,customer50@example.com,Hoàng Anh,Nam,1973,50-59,Giám đốc,Hà Nội,Việt Nam,Silver,1,1,7,2020-01-20,2024-12-06,1
51,customer51@example.com,Phạm Thảo,Nữ,1962,60+,Kiến trúc sư,Đà Nẵng,Việt Nam,Platinum,3,1,10,2022-06-01,2023-07-22,1
52,customer52@example.com,Hoàng Tuấn,Nam,1969,50-59,Giám đốc,Hà Nội,Việt Nam,Gold,3,1,8,2016-05-24,2024-04-24,1
53,customer53@example.com,Bùi Yến,Nữ,1977,40-49,Người nổi tiếng,TP HCM,Việt Nam,Diamond,3,1,10,2017-10-22,2023-01-27,1
54,customer54@example.com,Đỗ Minh,Nam,1977,40-49,Bác sĩ,TP HCM,Việt Nam,Diamond,2,1,10,2019-11-21,2024-10-12,1
55,customer55@example.com,Phan Quang,Nam,1990,30-39,Chuyên gia tài chính,TP HCM,Việt Nam,Silver,4,1,8,2018-03-26,2024-11-09,1
56,customer56@example.com,Trần Hải,Nam,1989,30-39,Kiến trúc sư,TP HCM,Expat,Gold,1,1,9,2020-03-07,2024-02-28,0
57,customer57@example.com,Hồ Thu,Nữ,1991,30-39,Doanh nhân,Hà Nội,Việt Nam,Diamond,4,1,8,2016-05-12,2023-01-30,1
58,customer58@example.com,Hoàng Thành,Nam,1970,50-59,Doanh nhân,TP HCM,Việt Nam,Diamond,1,1,8,2016-04-26,2024-10-25,1
59,customer59@example.com,Bùi Trang,Nữ,1978,40-49,Kiến trúc sư,TP HCM,Việt Nam,Gold,4,1,9,2016-08-15,2024-01-28,1
60,customer60@example.com,Hoàng Việt,Nam,1964,60+,Nhà đầu tư,TP HCM,Việt Nam,Silver,1,1,5,2023-02-21,2023-11-02,1
61,customer61@example.com,Đặng Yến,Nữ,1969,50-59,Người nổi tiếng,TP HCM,Việt Nam,Gold,4,1,6,2017-02-11,2024-12-15,1
62,customer62@example.com,Dương Hằng,Nữ,1974,50-59,Doanh nhân,Hà Nội,Việt Nam,Diamond,4,1,7,2022-06-11,2024-10-29,1
63,customer63@example.com,Lê Yến,Nữ,1962,60+,Chuyên gia tài chính,Bình Dương,Expat,Gold,4,1,1,2023-02-07,2023-05-28,1
64,customer64@example.com,Đặng Việt,Nam,1964,60+,Kiến trúc sư,TP HCM,Việt Nam,Gold,3,1,9,2019-04-06,2023-11-21,1
65,customer65@example.com,Nguyễn Phương,Nữ,1994,30-39,Giám đốc,Hà Nội,Việt Nam,Silver,2,1,2,2019-11-13,2023-04-11,1
66,customer66@example.com,Lê Khánh,Nam,1988,30-39,Kiến trúc sư,Đồng Nai,Việt Nam,Platinum,3,1,6,2019-03-16,2024-03-17,1
67,customer67@example.com,Hồ Ngọc,Nữ,1996,25-29,Bác sĩ,Hà Nội,Việt Nam,Diamond,2,1,8,2021-07-16,2023-05-27,1
68,customer68@example.com,Hoàng Ánh,Nữ,1989,30-39,Doanh nhân,Đồng Nai,Việt Nam,Silver,2,1,2,2019-12-15,2023-12-20,1
69,customer69@example.com,Ngô Thảo,Nữ,1987,30-39,Người nổi tiếng,Bình Dương,Việt Nam,Gold,4,1,2,2017-08-29,2024-01-26,1
70,customer70@example.com,Nguyễn Hà,Nữ,1978,40-49,Nhà đầu tư,Hà Nội,Việt Nam,Platinum,1,1,10,2023-05-11,2024-05-23,1
71,customer71@example.com,Đỗ Ngọc,Nữ,1974,50-59,Chuyên gia tài chính,Hà Nội,Việt Nam,Silver,2,1,2,2022-01-14,2024-10-23,0
72,customer72@example.com,Đỗ Nga,Nữ,1962,60+,Bác sĩ,Hà Nội,Việt Nam,Platinum,2,1,4,2016-06-25,2024-07-06,1
73,customer73@example.com,Bùi Thảo,Nữ,1993,30-39,Bác sĩ,Hà Nội,Việt Nam,Gold,3,1,6,2016-04-16,2024-04-24,1
74,customer74@example.com,Hồ Khánh,Nam,1974,50-59,Nhà đầu tư,Khánh Hòa,Việt Nam,Gold,4,1,1,2017-12-19,2024-07-03,1
75,customer75@example.com,Đỗ Hằng,Nữ,1976,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Silver,3,1,10,2017-06-25,2024-10-25,0
76,customer76@example.com,Hồ Hằng,Nữ,1979,40-49,Giám đốc,Hà Nội,Expat,Silver,4,1,2,2016-02-03,2023-08-29,1
77,customer77@example.com,Đặng Hải,Nam,1984,40-49,Nhà đầu tư,TP HCM,Việt Nam,Diamond,1,1,8,2021-11-26,2024-02-22,1
78,customer78@example.com,Ngô Nga,Nữ,1962,60+,Luật sư,TP HCM,Expat,Platinum,1,1,6,2021-02-08,2024-10-22,1
79,customer79@example.com,Phạm Hoa,Nữ,1977,40-49,Người nổi tiếng,Hà Nội,Việt Nam,Gold,1,1,1,2018-09-28,2023-09-07,1
80,customer80@example.com,Dương Thành,Nam,1964,60+,Luật sư,TP HCM,Việt Nam,Silver,2,1,10,2015-01-12,2023-10-11,1
81,customer81@example.com,Bùi Long,Nam,1968,50-59,Bác sĩ,Hà Nội,Expat,Silver,3,1,4,2021-08-08,2023-11-28,0
82,customer82@example.com,Lê Trang,Nữ,1963,60+,Nhà đầu tư,TP HCM,Việt Nam,Gold,3,1,9,2021-08-28,2023-04-22,1
83,customer83@example.com,Ngô Việt,Nam,1962,60+,Kiến trúc sư,TP HCM,Expat,Silver,4,1,7,2019-10-13,2024-12-03,1
84,customer84@example.com,Trần Nga,Nữ,1964,60+,Bác sĩ,Hà Nội,Việt Nam,Gold,3,1,7,2021-09-12,2024-06-27,1
85,customer85@example.com,Dương Trang,Nữ,1966,50-59,Giám đốc,Bình Dương,Việt Nam,Platinum,2,1,7,2020-01-24,2023-08-22,1
86,customer86@example.com,Vũ Trang,Nữ,1985,30-39,Giám đốc,Hà Nội,Việt Nam,Silver,2,1,8,2015-10-02,2023-04-04,1
87,customer87@example.com,Trần Khánh,Nam,1987,30-39,Chuyên gia tài chính,Hải Phòng,Việt Nam,Gold,3,1,2,2019-08-10,2023-12-29,1
88,customer88@example.com,Hoàng Phương,Nữ,1963,60+,Kiến trúc sư,TP HCM,Việt Nam,Silver,4,1,4,2016-03-19,2023-12-25,1
89,customer89@example.com,Dương Thảo,Nữ,1967,50-59,Luật sư,Hải Phòng,Việt Nam,Diamond,1,1,10,2022-05-18,2024-12-11,1
90,customer90@example.com,Ngô Việt,Nam,1977,40-49,Kiến trúc sư,Đồng Nai,Việt Nam,Silver,2,1,10,2022-05-16,2024-02-15,0
91,customer91@example.com,Ngô Thành,Nam,1965,50-59,Luật sư,TP HCM,Việt Nam,Silver,3,1,6,2021-05-13,2024-09-02,1
92,customer92@example.com,Lê Việt,Nam,1969,50-59,Doanh nhân,TP HCM,Việt Nam,Platinum,4,1,10,2019-12-16,2024-02-29,1
93,customer93@example.com,Vũ Hùng,Nam,1982,40-49,Kiến trúc sư,TP HCM,Việt Nam,Gold,3,1,1,2017-06-22,2024-02-09,1
94,customer94@example.com,Phạm Long,Nam,1960,60+,Luật sư,Đà Nẵng,Việt Nam,Silver,1,1,1,2020-07-30,2024-03-16,1
95,customer95@example.com,Ngô Linh,Nữ,1994,30-39,Chuyên gia tài chính,Hà Nội,Expat,Silver,1,1,8,2015-11-15,2023-11-17,1
96,customer96@example.com,Hoàng Hoa,Nữ,1986,30-39,Nhà đầu tư,Hà Nội,Việt Nam,Platinum,4,1,6,2015-12-27,2024-03-23,1
97,customer97@example.com,Đỗ Quang,Nam,1987,30-39,Giám đốc,TP HCM,Việt Nam,Silver,3,1,3,2015-11-09,2024-06-06,1
98,customer98@example.com,Phan Khánh,Nam,1982,40-49,Bác sĩ,Hà Nội,Việt Nam,Silver,2,1,2,2016-12-26,2024-10-05,1
99,customer99@example.com,Hồ Ánh,Nữ,1996,25-29,Chuyên gia tài chính,Bình Dương,Việt Nam,Silver,1,1,8,2019-12-17,2024-10-08,1
100,customer100@example.com,Nguyễn Nga,Nữ,1997,25-29,Giám đốc,Hà Nội,Việt Nam,Silver,3,1,2,2022-03-25,2023-04-03,1
101,customer101@example.com,Đỗ Yến,Nữ,1989,30-39,Doanh nhân,TP HCM,Việt Nam,Platinum,3,1,10,2020-05-02,2024-05-28,1
102,customer102@example.com,Trần Việt,Nam,1988,30-39,Chuyên gia tài chính,Quảng Ninh,Việt Nam,Gold,1,1,4,2022-12-08,2024-03-24,1
103,customer103@example.com,Phan Long,Nam,1983,40-49,Nhà đầu tư,TP HCM,Việt Nam,Gold,3,1,2,2018-09-12,2023-04-07,1
104,customer104@example.com,Hoàng Trang,Nữ,1978,40-49,Bác sĩ,TP HCM,Việt Nam,Silver,3,1,5,2022-05-11,2024-12-16,1
105,customer105@example.com,Ngô Hùng,Nam,1998,25-29,Kiến trúc sư,TP HCM,Việt Nam,Silver,2,1,9,2016-01-18,2024-10-23,1
106,customer106@example.com,Phan Thảo,Nữ,1961,60+,Bác sĩ,Khánh Hòa,Việt Nam,Platinum,2,1,4,2016-07-17,2023-06-08,0
107,customer107@example.com,Dương Thành,Nam,1992,30-39,Doanh nhân,TP HCM,Expat,Gold,4,1,3,2016-10-26,2023-07-05,1
108,customer108@example.com,Nguyễn Quang,Nam,1988,30-39,Chuyên gia tài chính,TP HCM,Việt Nam,Gold,3,1,8,2017-08-16,2024-06-30,1
109,customer109@example.com,Phan Ánh,Nữ,1972,50-59,Người nổi tiếng,TP HCM,Việt Nam,Gold,4,1,3,2017-03-28,2024-09-11,1
110,customer110@example.com,Hồ Thu,Nữ,1963,60+,Chuyên gia tài chính,TP HCM,Việt Nam,Platinum,1,1,5,2015-12-10,2023-06-14,1
111,customer111@example.com,Trần Đức,Nam,1987,30-39,Người nổi tiếng,Bình Dương,Expat,Gold,4,1,9,2019-03-12,2023-08-30,1
112,customer112@example.com,Phạm Minh,Nam,1983,40-49,Chuyên gia tài chính,Khánh Hòa,Việt Nam,Gold,2,1,3,2015-06-06,2023-10-21,1
113,customer113@example.com,Dương Trang,Nữ,1968,50-59,Người nổi tiếng,TP HCM,Việt Nam,Silver,3,1,4,2016-09-04,2024-07-15,1
114,customer114@example.com,Dương Thảo,Nữ,1967,50-59,Luật sư,Hà Nội,Việt Nam,Gold,4,1,2,2016-03-30,2024-05-26,1
115,customer115@example.com,Đỗ Đức,Nam,1992,30-39,Bác sĩ,Hà Nội,Việt Nam,Gold,4,1,3,2022-06-14,2024-11-15,1
116,customer116@example.com,Bùi Yến,Nữ,1964,60+,Doanh nhân,TP HCM,Việt Nam,Gold,3,1,5,2023-05-20,2023-01-17,1
117,customer117@example.com,Phạm Khánh,Nam,1982,40-49,Giám đốc,Đà Nẵng,Việt Nam,Silver,1,1,6,2021-02-14,2023-12-13,1
118,customer118@example.com,Ngô Bình,Nam,1989,30-39,Bác sĩ,Hải Phòng,Việt Nam,Platinum,4,1,1,2018-04-16,2023-07-26,0
119,customer119@example.com,Phan Long,Nam,1962,60+,Nhà đầu tư,Quảng Ninh,Việt Nam,Silver,2,1,5,2019-01-02,2023-02-18,1
120,customer120@example.com,Trần Ngọc,Nữ,1977,40-49,Chuyên gia tài chính,TP HCM,Việt Nam,Gold,4,1,6,2017-02-04,2024-05-23,1
121,customer121@example.com,Hoàng Ngọc,Nữ,1993,30-39,Giám đốc,Đà Nẵng,Việt Nam,Gold,2,1,9,2018-04-18,2023-11-25,1
122,customer122@example.com,Hoàng Thu,Nữ,1978,40-49,Nhà đầu tư,Hà Nội,Việt Nam,Gold,3,1,10,2019-11-17,2023-10-09,1
123,customer123@example.com,Hồ Anh,Nam,1964,60+,Nhà đầu tư,TP HCM,Việt Nam,Platinum,1,1,3,2021-10-24,2024-11-25,1
124,customer124@example.com,Trần Đức,Nam,1968,50-59,Chuyên gia tài chính,TP HCM,Expat,Silver,2,1,8,2019-02-28,2024-01-16,1
125,customer125@example.com,Lê Thành,Nam,1996,25-29,Chuyên gia tài chính,TP HCM,Việt Nam,Silver,1,1,1,2023-04-02,2023-07-10,1
126,customer126@example.com,Trần Thảo,Nữ,1995,25-29,Kiến trúc sư,Đà Nẵng,Việt Nam,Gold,4,1,4,2016-05-17,2023-05-19,1
127,customer127@example.com,Ngô Thu,Nữ,1971,50-59,Giám đốc,Hải Phòng,Expat,Diamond,3,1,2,2021-03-02,2024-07-09,1
128,customer128@example.com,Ngô Trang,Nữ,1970,50-59,Bác sĩ,Hải Phòng,Việt Nam,Silver,2,1,3,2017-08-27,2024-05-20,0
129,customer129@example.com,Dương Yến,Nữ,1989,30-39,Bác sĩ,TP HCM,Việt Nam,Silver,4,1,9,2019-08-10,2024-02-24,1
130,customer130@example.com,Phan Anh,Nam,1968,50-59,Giám đốc,TP HCM,Việt Nam,Silver,2,1,3,2019-11-08,2024-05-29,1
131,customer131@example.com,Bùi Tuấn,Nam,1967,50-59,Kiến trúc sư,Hà Nội,Việt Nam,Platinum,3,1,9,2018-03-09,2023-03-22,1
132,customer132@example.com,Hồ Thảo,Nữ,1968,50-59,Giám đốc,TP HCM,Việt Nam,Diamond,2,1,3,2022-05-22,2024-10-01,1
133,customer133@example.com,Nguyễn Hà,Nữ,1996,25-29,Doanh nhân,Hà Nội,Expat,Platinum,3,1,4,2021-06-01,2024-03-02,1
134,customer134@example.com,Hồ Thành,Nam,1991,30-39,Kiến trúc sư,TP HCM,Việt Nam,Silver,4,1,5,2020-02-01,2023-03-16,1
135,customer135@example.com,Vũ Bình,Nam,1988,30-39,Người nổi tiếng,Hà Nội,Việt Nam,Silver,3,1,6,2019-06-22,2023-05-14,1
136,customer136@example.com,Phạm Bình,Nam,1980,40-49,Giám đốc,Hà Nội,Việt Nam,Silver,3,1,7,2021-11-25,2024-03-04,1
137,customer137@example.com,Đỗ Khánh,Nam,1980,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Diamond,4,1,8,2018-06-17,2024-05-24,0
138,customer138@example.com,Đặng Linh,Nữ,1992,30-39,Luật sư,TP HCM,Việt Nam,Silver,4,1,5,2021-01-07,2023-01-09,1
139,customer139@example.com,Hoàng Trang,Nữ,1968,50-59,Chuyên gia tài chính,Đà Nẵng,Việt Nam,Gold,2,1,6,2021-03-16,2023-10-23,0
140,customer140@example.com,Hoàng Hà,Nữ,1995,25-29,Giám đốc,Hà Nội,Việt Nam,Gold,3,1,9,2019-02-06,2023-05-28,1
141,customer141@example.com,Nguyễn Lan,Nữ,1992,30-39,Doanh nhân,Hà Nội,Việt Nam,Gold,4,1,3,2021-10-19,2024-06-11,1
142,customer142@example.com,Vũ Phương,Nữ,1970,50-59,Kiến trúc sư,TP HCM,Việt Nam,Gold,4,1,10,2018-05-12,2024-05-01,1
143,customer143@example.com,Hồ Hoa,Nữ,1981,40-49,Nhà đầu tư,TP HCM,Việt Nam,Platinum,1,1,10,2020-04-27,2023-09-29,1
144,customer144@example.com,Đỗ Bình,Nam,1963,60+,Bác sĩ,TP HCM,Việt Nam,Platinum,4,1,3,2022-08-20,2023-09-06,0
145,customer145@example.com,Nguyễn Bình,Nam,1972,50-59,Chuyên gia tài chính,TP HCM,Việt Nam,Silver,4,1,1,2022-11-30,2023-05-22,1
146,customer146@example.com,Bùi Hằng,Nữ,1990,30-39,Chuyên gia tài chính,Khánh Hòa,Việt Nam,Gold,3,1,5,2021-11-03,2024-05-10,1
147,customer147@example.com,Bùi Long,Nam,1977,40-49,Luật sư,Khánh Hòa,Expat,Platinum,2,1,8,2018-07-22,2024-05-06,1
148,customer148@example.com,Trần Phương,Nữ,1978,40-49,Nhà đầu tư,Đồng Nai,Việt Nam,Silver,2,1,5,2015-06-22,2023-10-22,1
149,customer149@example.com,Đặng Anh,Nam,1982,40-49,Kiến trúc sư,Đà Nẵng,Việt Nam,Platinum,3,1,9,2022-10-22,2023-10-06,1
150,customer150@example.com,Nguyễn Anh,Nam,1975,40-49,Luật sư,TP HCM,Việt Nam,Gold,4,1,2,2022-08-22,2023-05-21,0
151,customer151@example.com,Hồ Bình,Nam,1986,30-39,Người nổi tiếng,TP HCM,Việt Nam,Silver,3,1,1,2016-01-02,2024-10-29,1
152,customer152@example.com,Vũ Tuấn,Nam,1971,50-59,Doanh nhân,Quảng Ninh,Việt Nam,Gold,3,1,1,2015-02-07,2023-11-02,1
153,customer153@example.com,Hoàng Bình,Nam,1981,40-49,Người nổi tiếng,Bình Dương,Việt Nam,Gold,3,1,4,2016-04-06,2023-12-05,1
154,customer154@example.com,Ngô Mai,Nữ,1976,40-49,Doanh nhân,Đà Nẵng,Việt Nam,Gold,2,1,3,2021-11-07,2024-10-16,1
155,customer155@example.com,Phan Hoa,Nữ,1992,30-39,Nhà đầu tư,TP HCM,Việt Nam,Silver,3,1,4,2015-01-28,2023-09-25,1
156,customer156@example.com,Phan Thảo,Nữ,1977,40-49,Doanh nhân,Hà Nội,Việt Nam,Silver,1,1,8,2018-06-10,2023-06-13,1
157,customer157@example.com,Hồ Thảo,Nữ,1967,50-59,Chuyên gia tài chính,TP HCM,Việt Nam,Silver,2,1,8,2023-05-21,2024-09-12,1
158,customer158@example.com,Dương Ánh,Nữ,1994,30-39,Luật sư,Đà Nẵng,Việt Nam,Gold,1,1,9,2020-01-04,2024-06-24,1
159,customer159@example.com,Trần Minh,Nam,1996,25-29,Luật sư,TP HCM,Việt Nam,Silver,4,1,2,2022-08-18,2023-07-30,1
160,customer160@example.com,Bùi Thu,Nữ,1965,50-59,Doanh nhân,TP HCM,Việt Nam,Gold,1,1,9,2020-03-08,2024-11-19,1
161,customer161@example.com,Hoàng Minh,Nam,1985,30-39,Luật sư,TP HCM,Việt Nam,Silver,1,1,9,2015-09-04,2023-03-12,1
162,customer162@example.com,Hoàng Hằng,Nữ,1962,60+,Bác sĩ,Đà Nẵng,Việt Nam,Diamond,4,1,6,2019-04-16,2024-04-04,1
163,customer163@example.com,Trần Ánh,Nữ,1984,40-49,Bác sĩ,TP HCM,Việt Nam,Silver,4,1,9,2016-06-05,2023-08-17,1
164,customer164@example.com,Đặng Anh,Nam,1979,40-49,Nhà đầu tư,TP HCM,Việt Nam,Silver,3,1,3,2018-02-03,2023-07-13,1
165,customer165@example.com,Dương Anh,Nam,1962,60+,Nhà đầu tư,TP HCM,Expat,Diamond,2,1,4,2015-10-03,2023-04-14,1
166,customer166@example.com,Hồ Trang,Nữ,1998,25-29,Doanh nhân,Hà Nội,Việt Nam,Gold,2,1,1,2016-07-27,2024-05-30,1
167,customer167@example.com,Phan Trung,Nam,1996,25-29,Chuyên gia tài chính,Hà Nội,Expat,Diamond,2,1,7,2018-05-15,2023-10-09,0
168,customer168@example.com,Bùi Bình,Nam,1987,30-39,Doanh nhân,Quảng Ninh,Expat,Platinum,3,1,7,2019-07-31,2023-06-02,1
169,customer169@example.com,Đặng Đức,Nam,1994,30-39,Luật sư,Hà Nội,Việt Nam,Platinum,1,1,9,2019-08-18,2024-03-02,1
170,customer170@example.com,Phạm Long,Nam,1984,40-49,Luật sư,TP HCM,Việt Nam,Gold,3,1,2,2021-01-02,2023-07-15,0
171,customer171@example.com,Đỗ Lan,Nữ,1998,25-29,Giám đốc,Hà Nội,Việt Nam,Platinum,2,1,8,2017-05-05,2023-12-07,1
172,customer172@example.com,Phạm Khánh,Nam,1973,50-59,Giám đốc,Đà Nẵng,Việt Nam,Diamond,2,1,7,2017-09-07,2024-07-19,1
173,customer173@example.com,Đặng Yến,Nữ,1984,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Diamond,4,1,2,2023-02-07,2024-04-25,1
174,customer174@example.com,Phan Nga,Nữ,1973,50-59,Nhà đầu tư,Hà Nội,Expat,Platinum,1,1,5,2021-03-16,2024-08-21,1
175,customer175@example.com,Lê Linh,Nữ,1978,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Silver,3,1,5,2020-06-24,2024-10-19,1
176,customer176@example.com,Ngô Ngọc,Nữ,1970,50-59,Chuyên gia tài chính,Hà Nội,Việt Nam,Gold,1,1,9,2015-05-19,2023-03-18,1
